2026-01-01 17:45:41.003 [INFO] SkipList Multi-threaded Stress Test V1
2026-01-01 17:45:41.003 [INFO] ====================================
2026-01-01 17:45:41.003 [INFO] Keys to insert: 100000000
2026-01-01 17:45:41.003 [INFO] Threads: 12
2026-01-01 17:45:41.003 [INFO] Key size: 16 bytes
2026-01-01 17:45:41.003 [INFO] Value size: 100 bytes
2026-01-01 17:45:41.003 [INFO] 
2026-01-01 17:45:41.003 [INFO] Inserting keys...
2026-01-01 17:46:48.014 [INFO]   10M keys, 139K ops/sec, memory: 1723 MB
2026-01-01 17:46:49.014 [INFO]   10M keys, 143K ops/sec, memory: 1748 MB
2026-01-01 17:46:50.015 [INFO]   10M keys, 142K ops/sec, memory: 1774 MB
2026-01-01 17:46:51.015 [INFO]   10M keys, 142K ops/sec, memory: 1799 MB
2026-01-01 17:46:52.015 [INFO]   10M keys, 141K ops/sec, memory: 1824 MB
2026-01-01 17:46:53.015 [INFO]   10M keys, 144K ops/sec, memory: 1849 MB
2026-01-01 17:46:54.015 [INFO]   11M keys, 143K ops/sec, memory: 1875 MB
2026-01-01 17:46:55.015 [INFO]   11M keys, 142K ops/sec, memory: 1900 MB
2026-01-01 17:46:56.015 [INFO]   11M keys, 141K ops/sec, memory: 1925 MB
2026-01-01 17:46:57.016 [INFO]   11M keys, 139K ops/sec, memory: 1950 MB
2026-01-01 17:46:58.016 [INFO]   11M keys, 140K ops/sec, memory: 1975 MB
2026-01-01 17:46:59.016 [INFO]   11M keys, 143K ops/sec, memory: 2000 MB
2026-01-01 17:47:00.016 [INFO]   11M keys, 142K ops/sec, memory: 2025 MB
2026-01-01 17:47:01.016 [INFO]   12M keys, 141K ops/sec, memory: 2050 MB
2026-01-01 17:47:02.016 [INFO]   12M keys, 145K ops/sec, memory: 2076 MB
2026-01-01 17:47:03.016 [INFO]   12M keys, 145K ops/sec, memory: 2102 MB
2026-01-01 17:47:04.017 [INFO]   12M keys, 145K ops/sec, memory: 2128 MB
2026-01-01 17:47:05.017 [INFO]   12M keys, 141K ops/sec, memory: 2153 MB
2026-01-01 17:47:06.017 [INFO]   12M keys, 143K ops/sec, memory: 2178 MB
2026-01-01 17:47:07.017 [INFO]   12M keys, 143K ops/sec, memory: 2204 MB
2026-01-01 17:47:08.017 [INFO]   13M keys, 144K ops/sec, memory: 2229 MB
2026-01-01 17:47:09.018 [INFO]   13M keys, 145K ops/sec, memory: 2255 MB
2026-01-01 17:47:10.018 [INFO]   13M keys, 148K ops/sec, memory: 2281 MB
2026-01-01 17:47:11.018 [INFO]   13M keys, 150K ops/sec, memory: 2308 MB
2026-01-01 17:47:12.018 [INFO]   13M keys, 151K ops/sec, memory: 2335 MB
2026-01-01 17:47:13.018 [INFO]   13M keys, 148K ops/sec, memory: 2361 MB
2026-01-01 17:47:14.018 [INFO]   13M keys, 149K ops/sec, memory: 2388 MB
2026-01-01 17:47:15.018 [INFO]   14M keys, 148K ops/sec, memory: 2414 MB
2026-01-01 17:47:16.019 [INFO]   14M keys, 144K ops/sec, memory: 2440 MB
2026-01-01 17:47:17.019 [INFO]   14M keys, 148K ops/sec, memory: 2466 MB
2026-01-01 17:47:18.019 [INFO]   14M keys, 148K ops/sec, memory: 2492 MB
2026-01-01 17:47:19.019 [INFO]   14M keys, 150K ops/sec, memory: 2519 MB
2026-01-01 17:47:20.019 [INFO]   14M keys, 149K ops/sec, memory: 2545 MB
2026-01-01 17:47:21.019 [INFO]   14M keys, 149K ops/sec, memory: 2572 MB
2026-01-01 17:47:22.019 [INFO]   15M keys, 150K ops/sec, memory: 2599 MB
2026-01-01 17:47:23.020 [INFO]   15M keys, 149K ops/sec, memory: 2625 MB
2026-01-01 17:47:24.020 [INFO]   15M keys, 149K ops/sec, memory: 2652 MB
