2026-01-01 19:05:10.016 [INFO] SkipList Multi-threaded Stress Test V1
2026-01-01 19:05:10.016 [INFO] ====================================
2026-01-01 19:05:10.016 [INFO] Keys to insert: 100000000
2026-01-01 19:05:10.016 [INFO] Threads: 12
2026-01-01 19:05:10.016 [INFO] Key size: 16 bytes
2026-01-01 19:05:10.016 [INFO] Value size: 100 bytes
2026-01-01 19:05:10.016 [INFO] 
2026-01-01 19:05:10.016 [INFO] Inserting keys...
2026-01-01 19:05:11.016 [INFO]   0M keys, 317K ops/sec, memory: 57 MB
2026-01-01 19:05:12.017 [INFO]   1M keys, 307K ops/sec, memory: 112 MB
2026-01-01 19:05:13.017 [INFO]   1M keys, 301K ops/sec, memory: 165 MB
2026-01-01 19:05:14.017 [INFO]   1M keys, 302K ops/sec, memory: 219 MB
2026-01-01 19:05:15.017 [INFO]   2M keys, 299K ops/sec, memory: 273 MB
2026-01-01 19:05:16.017 [INFO]   2M keys, 300K ops/sec, memory: 326 MB
2026-01-01 19:05:17.017 [INFO]   2M keys, 299K ops/sec, memory: 380 MB
2026-01-01 19:05:18.017 [INFO]   2M keys, 301K ops/sec, memory: 434 MB
2026-01-01 19:05:19.018 [INFO]   3M keys, 303K ops/sec, memory: 488 MB
2026-01-01 19:05:20.018 [INFO]   3M keys, 305K ops/sec, memory: 542 MB
2026-01-01 19:05:21.018 [INFO]   3M keys, 303K ops/sec, memory: 596 MB
2026-01-01 19:05:22.018 [INFO]   4M keys, 299K ops/sec, memory: 650 MB
2026-01-01 19:05:23.018 [INFO]   4M keys, 301K ops/sec, memory: 704 MB
2026-01-01 19:05:24.018 [INFO]   4M keys, 294K ops/sec, memory: 756 MB
2026-01-01 19:05:25.018 [INFO]   5M keys, 292K ops/sec, memory: 809 MB
2026-01-01 19:05:26.019 [INFO]   5M keys, 297K ops/sec, memory: 862 MB
2026-01-01 19:05:27.019 [INFO]   5M keys, 295K ops/sec, memory: 914 MB
2026-01-01 19:05:28.019 [INFO]   5M keys, 289K ops/sec, memory: 966 MB
2026-01-01 19:05:29.019 [INFO]   6M keys, 300K ops/sec, memory: 1020 MB
2026-01-01 19:05:30.019 [INFO]   6M keys, 296K ops/sec, memory: 1073 MB
2026-01-01 19:05:31.019 [INFO]   6M keys, 290K ops/sec, memory: 1125 MB
2026-01-01 19:05:32.019 [INFO]   7M keys, 290K ops/sec, memory: 1177 MB
2026-01-01 19:05:33.020 [INFO]   7M keys, 290K ops/sec, memory: 1228 MB
2026-01-01 19:05:34.020 [INFO]   7M keys, 287K ops/sec, memory: 1280 MB
2026-01-01 19:05:35.020 [INFO]   7M keys, 291K ops/sec, memory: 1332 MB
2026-01-01 19:05:36.020 [INFO]   8M keys, 291K ops/sec, memory: 1384 MB
2026-01-01 19:05:37.020 [INFO]   8M keys, 287K ops/sec, memory: 1435 MB
2026-01-01 19:05:38.020 [INFO]   8M keys, 289K ops/sec, memory: 1487 MB
2026-01-01 19:05:39.020 [INFO]   9M keys, 284K ops/sec, memory: 1537 MB
2026-01-01 19:05:40.021 [INFO]   9M keys, 288K ops/sec, memory: 1589 MB
2026-01-01 19:05:41.021 [INFO]   9M keys, 289K ops/sec, memory: 1640 MB
2026-01-01 19:05:42.021 [INFO]   9M keys, 292K ops/sec, memory: 1693 MB
2026-01-01 19:05:43.021 [INFO]   10M keys, 290K ops/sec, memory: 1745 MB
2026-01-01 19:05:44.021 [INFO]   10M keys, 287K ops/sec, memory: 1796 MB
2026-01-01 19:05:45.021 [INFO]   10M keys, 286K ops/sec, memory: 1847 MB
2026-01-01 19:05:46.021 [INFO]   11M keys, 290K ops/sec, memory: 1899 MB
2026-01-01 19:05:47.022 [INFO]   11M keys, 289K ops/sec, memory: 1950 MB
2026-01-01 19:05:48.022 [INFO]   11M keys, 289K ops/sec, memory: 2002 MB
2026-01-01 19:05:49.022 [INFO]   11M keys, 289K ops/sec, memory: 2054 MB
2026-01-01 19:05:50.022 [INFO]   12M keys, 285K ops/sec, memory: 2105 MB
2026-01-01 19:05:51.022 [INFO]   12M keys, 285K ops/sec, memory: 2156 MB
2026-01-01 19:05:52.022 [INFO]   12M keys, 286K ops/sec, memory: 2207 MB
2026-01-01 19:05:53.022 [INFO]   13M keys, 286K ops/sec, memory: 2258 MB
2026-01-01 19:05:54.023 [INFO]   13M keys, 282K ops/sec, memory: 2308 MB
2026-01-01 19:05:55.023 [INFO]   13M keys, 287K ops/sec, memory: 2360 MB
2026-01-01 19:05:56.023 [INFO]   13M keys, 284K ops/sec, memory: 2410 MB
2026-01-01 19:05:57.023 [INFO]   14M keys, 280K ops/sec, memory: 2461 MB
2026-01-01 19:05:58.023 [INFO]   14M keys, 287K ops/sec, memory: 2512 MB
2026-01-01 19:05:59.023 [INFO]   14M keys, 286K ops/sec, memory: 2563 MB
2026-01-01 19:06:00.023 [INFO]   15M keys, 284K ops/sec, memory: 2614 MB
2026-01-01 19:06:01.024 [INFO]   15M keys, 280K ops/sec, memory: 2664 MB
2026-01-01 19:06:02.024 [INFO]   15M keys, 276K ops/sec, memory: 2713 MB
2026-01-01 19:06:03.024 [INFO]   15M keys, 278K ops/sec, memory: 2763 MB
2026-01-01 19:06:04.024 [INFO]   16M keys, 277K ops/sec, memory: 2812 MB
2026-01-01 19:06:05.024 [INFO]   16M keys, 281K ops/sec, memory: 2863 MB
2026-01-01 19:06:06.024 [INFO]   16M keys, 284K ops/sec, memory: 2913 MB
2026-01-01 19:06:07.024 [INFO]   17M keys, 285K ops/sec, memory: 2964 MB
2026-01-01 19:06:08.025 [INFO]   17M keys, 274K ops/sec, memory: 3013 MB
2026-01-01 19:06:09.025 [INFO]   17M keys, 283K ops/sec, memory: 3064 MB
2026-01-01 19:06:10.025 [INFO]   17M keys, 284K ops/sec, memory: 3115 MB
2026-01-01 19:06:11.025 [INFO]   18M keys, 286K ops/sec, memory: 3166 MB
2026-01-01 19:06:12.025 [INFO]   18M keys, 288K ops/sec, memory: 3217 MB
2026-01-01 19:06:13.025 [INFO]   18M keys, 286K ops/sec, memory: 3268 MB
2026-01-01 19:06:14.025 [INFO]   19M keys, 282K ops/sec, memory: 3319 MB
2026-01-01 19:06:15.026 [INFO]   19M keys, 282K ops/sec, memory: 3369 MB
2026-01-01 19:06:16.026 [INFO]   19M keys, 284K ops/sec, memory: 3420 MB
2026-01-01 19:06:17.026 [INFO]   19M keys, 280K ops/sec, memory: 3470 MB
2026-01-01 19:06:18.026 [INFO]   20M keys, 278K ops/sec, memory: 3520 MB
2026-01-01 19:06:19.026 [INFO]   20M keys, 282K ops/sec, memory: 3570 MB
2026-01-01 19:06:20.026 [INFO]   20M keys, 287K ops/sec, memory: 3621 MB
2026-01-01 19:06:21.026 [INFO]   21M keys, 284K ops/sec, memory: 3672 MB
2026-01-01 19:06:22.027 [INFO]   21M keys, 281K ops/sec, memory: 3722 MB
2026-01-01 19:06:23.027 [INFO]   21M keys, 281K ops/sec, memory: 3773 MB
2026-01-01 19:06:24.027 [INFO]   21M keys, 283K ops/sec, memory: 3823 MB
2026-01-01 19:06:25.027 [INFO]   22M keys, 281K ops/sec, memory: 3874 MB
2026-01-01 19:06:26.027 [INFO]   22M keys, 282K ops/sec, memory: 3924 MB
2026-01-01 19:06:27.027 [INFO]   22M keys, 281K ops/sec, memory: 3974 MB
2026-01-01 19:06:28.028 [INFO]   23M keys, 276K ops/sec, memory: 4023 MB
2026-01-01 19:06:29.028 [INFO]   23M keys, 280K ops/sec, memory: 4073 MB
2026-01-01 19:06:30.028 [INFO]   23M keys, 281K ops/sec, memory: 4124 MB
2026-01-01 19:06:31.028 [INFO]   23M keys, 279K ops/sec, memory: 4173 MB
2026-01-01 19:06:32.028 [INFO]   24M keys, 278K ops/sec, memory: 4223 MB
2026-01-01 19:06:33.028 [INFO]   24M keys, 275K ops/sec, memory: 4272 MB
2026-01-01 19:06:34.028 [INFO]   24M keys, 277K ops/sec, memory: 4322 MB
2026-01-01 19:06:35.029 [INFO]   24M keys, 275K ops/sec, memory: 4371 MB
2026-01-01 19:06:36.029 [INFO]   25M keys, 280K ops/sec, memory: 4421 MB
2026-01-01 19:06:37.029 [INFO]   25M keys, 281K ops/sec, memory: 4471 MB
2026-01-01 19:06:38.029 [INFO]   25M keys, 279K ops/sec, memory: 4521 MB
2026-01-01 19:06:39.029 [INFO]   26M keys, 278K ops/sec, memory: 4571 MB
2026-01-01 19:06:40.029 [INFO]   26M keys, 276K ops/sec, memory: 4620 MB
2026-01-01 19:06:41.029 [INFO]   26M keys, 277K ops/sec, memory: 4670 MB
2026-01-01 19:06:42.030 [INFO]   26M keys, 274K ops/sec, memory: 4719 MB
2026-01-01 19:06:43.030 [INFO]   27M keys, 272K ops/sec, memory: 4767 MB
2026-01-01 19:06:44.030 [INFO]   27M keys, 272K ops/sec, memory: 4816 MB
2026-01-01 19:06:45.030 [INFO]   27M keys, 276K ops/sec, memory: 4865 MB
2026-01-01 19:06:46.030 [INFO]   27M keys, 277K ops/sec, memory: 4915 MB
2026-01-01 19:06:47.030 [INFO]   28M keys, 277K ops/sec, memory: 4964 MB
2026-01-01 19:06:48.030 [INFO]   28M keys, 273K ops/sec, memory: 5013 MB
2026-01-01 19:06:49.031 [INFO]   28M keys, 279K ops/sec, memory: 5063 MB
2026-01-01 19:06:50.031 [INFO]   29M keys, 280K ops/sec, memory: 5113 MB
2026-01-01 19:06:51.031 [INFO]   29M keys, 280K ops/sec, memory: 5163 MB
2026-01-01 19:06:52.031 [INFO]   29M keys, 281K ops/sec, memory: 5213 MB
2026-01-01 19:06:53.031 [INFO]   29M keys, 283K ops/sec, memory: 5264 MB
2026-01-01 19:06:54.031 [INFO]   30M keys, 279K ops/sec, memory: 5314 MB
2026-01-01 19:06:55.031 [INFO]   30M keys, 279K ops/sec, memory: 5364 MB
2026-01-01 19:06:56.032 [INFO]   30M keys, 280K ops/sec, memory: 5414 MB
2026-01-01 19:06:57.032 [INFO]   31M keys, 280K ops/sec, memory: 5464 MB
2026-01-01 19:06:58.032 [INFO]   31M keys, 281K ops/sec, memory: 5514 MB
2026-01-01 19:06:59.032 [INFO]   31M keys, 280K ops/sec, memory: 5564 MB
2026-01-01 19:07:00.032 [INFO]   31M keys, 282K ops/sec, memory: 5615 MB
2026-01-01 19:07:01.032 [INFO]   32M keys, 284K ops/sec, memory: 5666 MB
2026-01-01 19:07:02.032 [INFO]   32M keys, 279K ops/sec, memory: 5715 MB
2026-01-01 19:07:03.033 [INFO]   32M keys, 277K ops/sec, memory: 5765 MB
2026-01-01 19:07:04.033 [INFO]   33M keys, 279K ops/sec, memory: 5815 MB
2026-01-01 19:07:05.033 [INFO]   33M keys, 282K ops/sec, memory: 5865 MB
2026-01-01 19:07:06.033 [INFO]   33M keys, 276K ops/sec, memory: 5915 MB
2026-01-01 19:07:07.033 [INFO]   33M keys, 274K ops/sec, memory: 5964 MB
2026-01-01 19:07:08.033 [INFO]   34M keys, 258K ops/sec, memory: 6010 MB
2026-01-01 19:07:09.033 [INFO]   34M keys, 275K ops/sec, memory: 6059 MB
2026-01-01 19:07:10.033 [INFO]   34M keys, 275K ops/sec, memory: 6108 MB
2026-01-01 19:07:11.034 [INFO]   34M keys, 273K ops/sec, memory: 6157 MB
2026-01-01 19:07:12.034 [INFO]   35M keys, 271K ops/sec, memory: 6205 MB
2026-01-01 19:07:13.034 [INFO]   35M keys, 276K ops/sec, memory: 6255 MB
2026-01-01 19:07:14.034 [INFO]   35M keys, 271K ops/sec, memory: 6303 MB
2026-01-01 19:07:15.034 [INFO]   36M keys, 277K ops/sec, memory: 6352 MB
2026-01-01 19:07:16.034 [INFO]   36M keys, 277K ops/sec, memory: 6402 MB
2026-01-01 19:07:17.034 [INFO]   36M keys, 275K ops/sec, memory: 6451 MB
2026-01-01 19:07:18.035 [INFO]   36M keys, 274K ops/sec, memory: 6500 MB
2026-01-01 19:07:19.035 [INFO]   37M keys, 277K ops/sec, memory: 6549 MB
2026-01-01 19:07:20.035 [INFO]   37M keys, 272K ops/sec, memory: 6598 MB
